Municipio,Candidato_electo,Género,Partido,Porcentaje_de_votos,Participación_Ciudadana
El Salto,Ricardo Zaid Santillán Cortés,H,PAN-PRD-MC,,
Guadalajara,Ismael del Toro Castro,H,MC,,
Ixtlahuacán de los Membrillos,Eduardo Cervantes Aguilar,H,PRI,,
Juanacatlán,Adriana Cortés González,M,MC,,
Tlajomulco de Zúñiga,Salvador Zamora Zamora,H,MC,,
Tlaquepaque,María Elena Limón García,M,PAN-PRD-MC,,
Tonalá,Juan Antonio González Mora,H,PAN-PRD-MC,,
Zapopan,Jesús Pablo Lemus Navarro,H,MC,,
Zapotlanejo,Héctor Álvarez Contreras,H,MC,,
Acatic,Marco Tulio Moya Díaz,H,PAN-PRD-MC,,
Acatlán de Juárez,Gerardo Uvaldo Ochoa Alvarado,H,MC,,
Ahualulco de Mercado,José Manuel Medrano Barba,H,PAN-PRD-MC,,
Amacueca,Luz Elvira Duran Valenzuela,M,PAN-PRD-MC,,
Amatitán,Gildardo Partida Melendrez,H,PANAL,,
Ameca,Juan Valentín Serrano Jiménez,H,PAN-PRD-MC,,
Arandas,Ana Isabel Bañuelos Ramírez,M,PAN-PRD-MC,,
Atemajac de Brizuela,J. Jesús Monroy Moreno,H,PANAL,,
Atengo,Nancy Maldonado Gómez,M,PAN,,
Atenguillo,Mayra Isela Güitrón Contreras,M,PAN-PRD-MC,,
Atotonilco el Alto,Cruz Carrillo Solís,H,PAN-PRD-MC,,
Atoyac,Sonia Guadalupe Cabrera Ramírez,M,PRI,,
Autlán de Navarro,Miguel Ángel Iñiguez Brambila,H,MORENA-PES-PT,,
Ayotlán,Gabriel Vásquez Andrade,H,MORENA-PES-PT,,
Ayutla,José Ángel Prudencio Vargas,H,MC,,
Bolaños,Manuel Villalobos Álvarez,H,PAN-PRD-MC,,
Cabo Corrientes,Prisciliano Ramírez Gordian,H,PRI,,
Cañadas de Obregón,Reynaldo González Gómez,H,PAN-PRD-MC,,
Casimiro Castillo,Alfredo Sevilla Cuevas,H,MC,,
Chapala,Moisés Alejandro Anaya Aguilar,H,MC,,
Chimaltitán,,SIN DATOS,SIN DATOS,,
Chiquilistlán,,SIN DATOS,SIN DATOS,,
Cihuatlán,,SIN DATOS,SIN DATOS,,
Cocula,,SIN DATOS,SIN DATOS,,
Colotlán,,SIN DATOS,SIN DATOS,,
Concepción de Buenos Aires,,SIN DATOS,SIN DATOS,,
Cuautitlán de García Barragán,,SIN DATOS,SIN DATOS,,
Cuautla,,SIN DATOS,SIN DATOS,,
Cuquío,,SIN DATOS,SIN DATOS,,
Degollado,,SIN DATOS,SIN DATOS,,
Ejutla,,SIN DATOS,SIN DATOS,,
El Arenal,Jorge Abel Hermosillo Pulido,H,MC,,
El Grullo,Mónica Marín Buenrostro,M,PAN-PRD-MC,,
El Limón,,SIN DATOS,SIN DATOS,,
Encarnación de Díaz,,SIN DATOS,SIN DATOS,,
Etzatlán,,SIN DATOS,SIN DATOS,,
Gómez Farías,,SIN DATOS,SIN DATOS,,
Guachinango,,SIN DATOS,SIN DATOS,,
Hostotipaquillo,Iliana Cristina Esparza Ríos,M,PAN-PRD-MC,,
Huejúcar,,SIN DATOS,SIN DATOS,,
Huejuquilla el Alto,,SIN DATOS,SIN DATOS,,
Ixtlahuacán del Río,,SIN DATOS,SIN DATOS,,
Jalostotitlán,,SIN DATOS,SIN DATOS,,
Jamay,,SIN DATOS,SIN DATOS,,
Jesús María,,SIN DATOS,SIN DATOS,,
Jilotlán de los Dolores,,SIN DATOS,SIN DATOS,,
Jocotepec,,SIN DATOS,SIN DATOS,,
Juchitlán,,SIN DATOS,SIN DATOS,,
La Barca,Enrique Rojas Román,H,MORENA-PES-PT,,
Lagos de Moreno,Tecutli José Guadalupe Gómez Villalobos,H,PAN-PRD-MC,,
La Manzanilla de la Paz,,SIN DATOS,SIN DATOS,,
La Huerta,Adán Israel Mendoza Rodríguez,H,PAN-PRD-MC,,
Magdalena,,SIN DATOS,SIN DATOS,,
Mascota,,SIN DATOS,SIN DATOS,,
Mazamitla,,SIN DATOS,SIN DATOS,,
Mexticacán,,SIN DATOS,SIN DATOS,,
Mezquitic,,SIN DATOS,SIN DATOS,,
Mixtlán,,SIN DATOS,SIN DATOS,,
Ojuelos de Jalisco,,SIN DATOS,SIN DATOS,,
Ocotlán,Paulo Gabriel Hernández Hernández,H,MC,,
Pihuamo,,SIN DATOS,SIN DATOS,,
Poncitlán,,SIN DATOS,SIN DATOS,,
Puerto Vallarta,Arturo Dávalos Peña,H,MC,,
Quitupan,,SIN DATOS,SIN DATOS,,
San Cristóbal de la Barranca,,SIN DATOS,SIN DATOS,,
San Diego de Alejandría,,SIN DATOS,SIN DATOS,,
San Gabriel,,SIN DATOS,SIN DATOS,,
San Ignacio Cerro Gordo,,SIN DATOS,SIN DATOS,,
San Juan de los Lagos,Jesús Ubaldo Medina Briseño,H,PANAL,,
San Juanito de Escobedo,María Guadalupe Duran Nuño,M,MC,,
San Julián,,SIN DATOS,SIN DATOS,,
San Marcos,,SIN DATOS,SIN DATOS,,
San Martín de Bolaños,,SIN DATOS,SIN DATOS,,
San Martín Hidalgo,,SIN DATOS,SIN DATOS,,
San Miguel el Alto,,SIN DATOS,SIN DATOS,,
San Sebastián del Oeste,,SIN DATOS,SIN DATOS,,
Santa María de los Ángeles,,SIN DATOS,SIN DATOS,,
Santa María del Oro,,SIN DATOS,SIN DATOS,,
Sayula,,SIN DATOS,SIN DATOS,,
Tala,Enrique Gabriel Buenrostro Ahued,H,PAN-PRD-MC,,
Talpa de Allende,,SIN DATOS,SIN DATOS,,
Tamazula de Gordiano,,SIN DATOS,SIN DATOS,,
Tapalpa,,SIN DATOS,SIN DATOS,,
Tecalitlán,,SIN DATOS,SIN DATOS,,
Techaluta de Montenegro,,SIN DATOS,SIN DATOS,,
Tecolotlán,Ricardo Ramírez Ruelas,H,PRI,,
Tenamaxtlán,,SIN DATOS,SIN DATOS,,
Teocaltiche,,SIN DATOS,SIN DATOS,,
Teocuitatlán de Corona,,SIN DATOS,SIN DATOS,,
Tepatitlán de Morelos,María Elena de Anda Gutiérrez,M,MC,,
Tequila,José Alfonso Magallanes Rubio,H,PAN-PRD-MC,,
Teuchitlán,,SIN DATOS,SIN DATOS,,
Tizapán el Alto,,SIN DATOS,SIN DATOS,,
Tolimán,,SIN DATOS,SIN DATOS,,
Tomatlán,,SIN DATOS,SIN DATOS,,
Tonaya,,SIN DATOS,SIN DATOS,,
Tonila,,SIN DATOS,SIN DATOS,,
Totatiche,,SIN DATOS,SIN DATOS,,
Tototlán,Sergio Quezada Mendoza,H,PAN-PRD-MC,,
Tuxcacuesco,,SIN DATOS,SIN DATOS,,
Tuxcueca,,SIN DATOS,SIN DATOS,,
Tuxpan,,SIN DATOS,SIN DATOS,,
Unión de San Antonio,,SIN DATOS,SIN DATOS,,
Unión de Tula,Gala del Carmen Lepe Galván,M,PAN-PRD-MC,,
Valle de Guadalupe,,SIN DATOS,SIN DATOS,,
Valle de Juárez,,SIN DATOS,SIN DATOS,,
Villa Corona,,SIN DATOS,SIN DATOS,,
Villa Guerrero,,SIN DATOS,SIN DATOS,,
Villa Hidalgo,,SIN DATOS,SIN DATOS,,
Villa Purificación,,SIN DATOS,SIN DATOS,,
Yahualica de González Gallo,,SIN DATOS,SIN DATOS,,
Zacoalco de Torres,,SIN DATOS,SIN DATOS,,
Zapotiltic,,SIN DATOS,SIN DATOS,,
Zapotitlán de Vadillo,,SIN DATOS,SIN DATOS,,
Zapotlán del Rey,,SIN DATOS,SIN DATOS,,
Zapotlán el Grande,J. Jesús Guerrero Zúñiga,H,MC,,
